"","ensembl_gene_id","entrezgene_id","gene_biotype","hgnc_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"715","ENSG00000117148",81569,"protein_coding","ACTL8",648.919598265985,-5.03566514662845,1.05343291599766,-4.78024283289021,1.75083588322341e-06,0.00012504416050346
"2777","ENSG00000196620",7366,"protein_coding","UGT2B15",63.75868373409,-5.02841968938697,0.902894281279047,-5.56922310136207,2.55877677918358e-08,5.36361419711841e-06
"2418","ENSG00000180777",374860,"protein_coding","ANKRD30B",239.51339527293,-4.99824209965277,0.907069099008062,-5.51032121490928,3.58179455049007e-08,6.69196300883644e-06
"1539","ENSG00000153002",1360,"protein_coding","CPB1",808.984807819331,-4.98889848060695,0.824194679841022,-6.0530583400141,1.42121366821958e-09,5.51638163595811e-07
"2202","ENSG00000173335",128822,"protein_coding","CST9",20.9004104283618,-4.95353800867279,1.10436476213061,-4.48541838578414,7.2770997856061e-06,0.000360105301741374
"7584","ENSG00000287394",NA,"lncRNA","MAGEA3-DT",9.64004459485557,-4.89922793013925,1.50844119271085,-3.24787466280654,0.00116270475688045,0.01187954610663
"2593","ENSG00000185559",8788,"protein_coding","DLK1",273.142079902079,-4.86219275628304,1.01599572448498,-4.78564293048351,1.70440840404548e-06,0.000122605532724986
"1649","ENSG00000159212",54102,"protein_coding","CLIC6",4399.25433653098,-4.85895817135676,0.72878306022892,-6.66722161438618,2.60691304278664e-11,2.20769985909808e-08
"865","ENSG00000124935",10647,"protein_coding","SCGB1D2",2780.54501325339,-4.83942727699805,1.03030584358419,-4.69707835506673,2.63909231556911e-06,0.000171495056731995
"247","ENSG00000082175",5241,"protein_coding","PGR",4132.48100522649,-4.83702926388913,0.803219098300434,-6.02205459771065,1.72216777227899e-09,6.35360549808514e-07
"1673","ENSG00000160182",7031,"protein_coding","TFF1",821.733054357219,-4.83551485078693,0.972581759653624,-4.97183378445124,6.63225567254468e-07,5.92959367915772e-05
"3212","ENSG00000211452",1733,"protein_coding","DIO1",345.443963310902,-4.81151173703879,0.66908159422167,-7.19121819908368,6.42157601488248e-13,9.57123061866204e-10
"2384","ENSG00000179059",132625,"protein_coding","ZFP42",34.0925610196059,-4.74891167451856,1.02584295214633,-4.62927747817794,3.66943800591039e-06,0.000214647722097697
"2534","ENSG00000183888",149563,"protein_coding","SRARP",187.82446344528,-4.74212626190605,1.02377359215426,-4.63200682089045,3.62138219765287e-06,0.000212169722403995
"6210","ENSG00000263618",NA,"lncRNA","",19.948077500013,-4.70790363504866,1.04128176771796,-4.5212581080396,6.14731780779869e-06,0.000315511509854263
"2628","ENSG00000186458",400830,"protein_coding","DEFB132",15.3640534329384,-4.68689932247667,1.27261488156044,-3.68288897952359,0.000230605607344546,0.00403988064921131
"1386","ENSG00000145451",8001,"protein_coding","GLRA3",184.005157089563,-4.68571912230067,0.855256825921318,-5.47872753573527,4.28395438207491e-08,7.6377372337261e-06
"5506","ENSG00000253959",NA,"lncRNA","LINC01863",5.03492789830017,-4.66976832334654,0.927446709455503,-5.03507994123795,4.77649456362287e-07,4.72100107240624e-05
"1692","ENSG00000161031",114770,"protein_coding","PGLYRP2",117.448832180703,-4.5918467501734,0.772392802954191,-5.94496314907498,2.76519056583689e-09,8.7437251328985e-07
"2031","ENSG00000169347",2813,"protein_coding","GP2",402.786719886705,-4.58088063286384,1.03863409548152,-4.41048551438135,1.0313910579873e-05,0.000461643395901153
"6127","ENSG00000261538",NA,"lncRNA","",6.72541877308021,-4.57528617536221,0.85564109965094,-5.34720243946756,8.93240918230829e-08,1.34209447964182e-05
"2805","ENSG00000197172",4105,"protein_coding","MAGEA6",45.9118767499626,-4.41144234823095,1.23185983545044,-3.58112361591678,0.000342119727912663,0.00523319593656882
"2806","ENSG00000197172",4102,"protein_coding","MAGEA6",45.9118767499626,-4.41144234823095,1.23185983545044,-3.58112361591678,0.000342119727912663,0.00523319593656882
"1488","ENSG00000150667",161835,"protein_coding","FSIP1",417.294899329642,-4.40549656163274,0.679018211322082,-6.48803888934735,8.69608369237374e-11,6.00061982491167e-08
"2642","ENSG00000186868",4137,"protein_coding","MAPT",3601.74053465834,-4.37682190751649,0.599780142395569,-7.29737715229303,2.93431430633188e-13,4.75384433402341e-10
"4303","ENSG00000233041",644844,"protein_coding","PHGR1",25.5683489058082,-4.36402116102825,1.05310179315314,-4.14396897754937,3.41345941224204e-05,0.00107973110881972
"7099","ENSG00000279685",100130148,"lncRNA","MAPT-IT1",17.0404778381969,-4.36106866588827,1.02444674530637,-4.25699889805794,2.07189376439653e-05,0.00076061975811767
"494","ENSG00000106541",10551,"protein_coding","AGR2",14701.2676925412,-4.35176160533438,0.79567210272614,-5.46929016415723,4.5184150717003e-08,7.94175388687247e-06
"547","ENSG00000108932",9120,"protein_coding","SLC16A6",1617.89191771733,-4.30605857106245,0.576880343487048,-7.46438775333159,8.36878194635027e-14,1.6412502783416e-10
"7397","ENSG00000286208",NA,"lncRNA","",188.112177697917,-4.30316674203709,1.09249316213581,-3.93885004609499,8.1873078421867e-05,0.00194897223751127
"5489","ENSG00000253768",NA,"lncRNA","",67.3687762119456,-4.26066347399848,0.952858414085967,-4.47145495176798,7.76892262689864e-06,0.000379404449441018
"5696","ENSG00000256357",NA,"lncRNA","",4.20632464907104,-4.25835007113278,1.07333766970807,-3.96739086991234,7.26637667300336e-05,0.00180266130219342
"898","ENSG00000126010",2925,"protein_coding","GRPR",340.355629584559,-4.20171332956471,0.81801223936775,-5.13649200751844,2.79914249291334e-07,3.21918665342398e-05
"2461","ENSG00000182348",219578,"protein_coding","ZNF804B",6.53560042315871,-4.18807998871334,1.51890875696864,-2.75729530789702,0.00582816902313879,0.0344915949689141
"1527","ENSG00000152086",112714,"protein_coding","TUBA3E",24.824956488743,-4.16476597588156,0.89174287173444,-4.67036643397114,3.00662924059778e-06,0.000187659997928232
"2381","ENSG00000179023",127707,"protein_coding","KLHDC7A",689.484792757855,-4.15369165434212,0.855406445530038,-4.85581056356006,1.19895281676066e-06,9.44511202074753e-05
"2563","ENSG00000184709",389816,"protein_coding","LRRC26",106.289724763913,-4.12000624383285,0.866805712038729,-4.75309078679533,2.00330337370593e-06,0.000139788558634888
"5707","ENSG00000256612",NA,"transcribed_unprocessed_pseudogene","CYP2B7P",349.439452110294,-4.11612948145063,0.790899892164102,-5.2043621730531,1.94664035941264e-07,2.39391792318263e-05
"143","ENSG00000064787",8537,"protein_coding","BCAS1",1162.88700820188,-4.09780879342375,0.609344985847042,-6.72494053221337,1.75664170469602e-11,1.72252587369429e-08
"1452","ENSG00000148513",91074,"protein_coding","ANKRD30A",687.148273013387,-4.07661570937607,0.934900757178944,-4.36047963173891,1.29777662535429e-05,0.000537906035750294
"2118","ENSG00000171209",1448,"protein_coding","CSN3",19.9138351672658,-4.070194218987,1.21042502179466,-3.36261573059044,0.000772077556504736,0.00911570149254736
"4235","ENSG00000232400",NA,"processed_pseudogene","RAD17P1",15.2217993912203,-4.05612342932724,0.949669350498518,-4.27109017175085,1.94519731240963e-05,0.000726427193101836
"1249","ENSG00000140798",94160,"protein_coding","ABCC12",10.6738508838108,-4.0374754236881,0.831344934987093,-4.85655863621853,1.19443422616973e-06,9.42945087617299e-05
"1277","ENSG00000141744",5409,"protein_coding","PNMT",134.619706735746,-4.00129570882512,0.73688142517448,-5.4300401287462,5.63413817467796e-08,9.33063362954889e-06
"1719","ENSG00000162482",22977,"protein_coding","AKR7A3",455.622003373614,-3.97256612053647,0.611511474253699,-6.49630675431669,8.23157317386126e-11,5.78726187932864e-08
"1200","ENSG00000138696",658,"protein_coding","BMPR1B",4494.13958180181,-3.96363965331482,0.738023820882561,-5.37061208752711,7.84698415773756e-08,1.20824100696536e-05
"4721","ENSG00000238178",NA,"lncRNA","MAGEB17-AS1",101.534921837619,-3.91602058685396,0.979428984620337,-3.99826904078396,6.38074004063315e-05,0.00165340149787255
"4570","ENSG00000236313",NA,"processed_pseudogene","VN1R53P",45.1327572227473,-3.87115095730352,0.991825239876664,-3.90305751624642,9.49851192825136e-05,0.00217403901394657
"2422","ENSG00000180914",5021,"protein_coding","OXTR",1203.08335817671,-3.86485448163769,0.64922802905197,-5.95300003803181,2.63271236629998e-09,8.53044592983218e-07
"3790","ENSG00000226767",NA,"transcribed_processed_pseudogene","",3.87275228328151,-3.86442973166132,1.02926610605358,-3.75454871090464,0.000173654072815216,0.00330812784317004
"7509","ENSG00000287003",107986482,"lncRNA","",5.40798385439653,-3.86410945045872,1.12249831656449,-3.44241892699241,0.000576536650236549,0.00751413384439115
"5326","ENSG00000251095",105377329,"lncRNA","",82.6166435428381,-3.86055858001746,0.870781234895965,-4.43344255170898,9.27402271639814e-06,0.000425053670920575
"1756","ENSG00000162989",3760,"protein_coding","KCNJ3",100.029574668697,-3.85936279204491,0.819779236143449,-4.70780744606415,2.50395455736949e-06,0.000165429706944507
"2659","ENSG00000187486",3767,"protein_coding","KCNJ11",393.242890429047,-3.82718865870897,0.531460457277988,-7.20126701111669,5.96555945199848e-13,9.26202817918198e-10
"2770","ENSG00000196415",5657,"protein_coding","PRTN3",3.66405501873645,-3.82088331158064,0.951854762701517,-4.01414528907368,5.96615902403805e-05,0.001577792885406
"5215","ENSG00000249599",NA,"lncRNA","BMPR1B-DT",20.4109434375459,-3.81556883651735,0.886874068574005,-4.3022667723867,1.69059587072737e-05,0.000660324772904016
"5808","ENSG00000258408",NA,"transcribed_processed_pseudogene","NT5CP2",9.35087006537901,-3.80434803686552,1.00936425792298,-3.76905364639513,0.00016386766831377,0.00318895260667441
"298","ENSG00000091831",2099,"protein_coding","ESR1",9048.01364177933,-3.79674535139882,0.750569287534224,-5.05848749003828,4.22594967376589e-07,4.36197608708766e-05
"2071","ENSG00000170324",143162,"protein_coding","FRMPD2",45.4502117961359,-3.78631593599905,0.894265749781417,-4.23399413085487,2.29576937977775e-05,0.00082096889279538
"2030","ENSG00000169344",7369,"protein_coding","UMOD",10.1031119229433,-3.75380256291719,0.90822967010757,-4.13309836318449,3.579054614027e-05,0.00111971715887239
"2065","ENSG00000170099",866,"protein_coding","SERPINA6",48.9326644368205,-3.75066760084374,0.964887618312375,-3.8871548661841,0.000101426049014003,0.00226578983115095
"5189","ENSG00000249231",643714,"lncRNA","CASC16",4.40852866471234,-3.7372031679588,1.03463780595774,-3.6120883525026,0.000303741035696765,0.00486464247871502
"3398","ENSG00000218416",100130449,"lncRNA","GPC1-AS1",227.392919802217,-3.73509993891215,0.589393812252805,-6.33718892405012,2.33995005060904e-10,1.40630998041603e-07
"650","ENSG00000113924",3081,"protein_coding","HGD",346.164540651753,-3.7236058386439,0.622319597440605,-5.98343014418614,2.18486764985902e-09,7.75357508276637e-07
"7689","ENSG00000287952",NA,"lncRNA","",11.1120302366791,-3.71797228771663,0.958454297875704,-3.87913361748918,0.000104829163967677,0.00231681157044103
"5659","ENSG00000255774",105379407,"lncRNA","LINC02747",103.247621652192,-3.71203717205329,0.910387709063228,-4.07742452484657,4.55373046495617e-05,0.00131433853280555
"2267","ENSG00000175302",NA,"unprocessed_pseudogene","ANKRD30BP1",16.2432154654009,-3.70879040288337,1.08338795611191,-3.42332622580888,0.000618597895864729,0.00786075469983653
"5404","ENSG00000252621",NA,"misc_RNA","",38.456334971168,-3.70167248572132,1.08014219246929,-3.42702332297472,0.000610236654683529,0.00780640248779281
"4859","ENSG00000241361",NA,"transcribed_unprocessed_pseudogene","SLC25A24P1",29.9268235149011,-3.70096927671033,0.915474718903787,-4.04267774990222,5.28442245670122e-05,0.00145639570764898
"1513","ENSG00000151655",3698,"protein_coding","ITIH2",104.24567549318,-3.67016519677734,0.655356696946871,-5.60025588183602,2.14035627698171e-08,4.80445515619835e-06
"1952","ENSG00000167183",79170,"protein_coding","PRR15L",2851.45154571914,-3.64245068487968,0.565005521666874,-6.44675236824899,1.1427226536986e-10,7.21697144442663e-08
"4707","ENSG00000237970",NA,"processed_pseudogene","TMEM161BP1",4.41909459555221,-3.6368510347661,0.932014120576262,-3.90214156038478,9.53453666844756e-05,0.00217738037048745
"4450","ENSG00000234918",NA,"lncRNA","",136.500704654687,-3.63505419019308,1.08057457781799,-3.36400121270054,0.000768212056711149,0.00908445498482096
"2291","ENSG00000175985",400224,"protein_coding","PLEKHD1",147.130940553358,-3.62665893984999,0.664907435736864,-5.45438168522037,4.91435426833123e-08,8.477716145674e-06
"685","ENSG00000115593",150572,"protein_coding","SMYD1",57.5302101898603,-3.62178933227917,0.781556396911804,-4.63407291730973,3.58540610337112e-06,0.000210724609185828
"3987","ENSG00000229314",5004,"protein_coding","ORM1",145.765671345903,-3.61309175202792,0.988412564619831,-3.65544903146553,0.000256732213545184,0.00432866775616319
"264","ENSG00000085831",22996,"protein_coding","TTC39A",5753.13765855159,-3.60153500976268,0.552581967791654,-6.51764845703507,7.14181255005051e-11,5.11765806230735e-08
"776","ENSG00000120289",4115,"protein_coding","MAGEB4",5.86474915113813,-3.59027209030169,0.903267033995734,-3.97476267280518,7.04494711976825e-05,0.00176982432763676
"7596","ENSG00000287457",NA,"lncRNA","",2.46792597470678,-3.58789948396638,1.17613501954048,-3.05058468998583,0.00228396257280793,0.0185940601677888
"5196","ENSG00000249346",100507584,"lncRNA","LINC01016",34.3733778272637,-3.57424018484013,0.802365212609608,-4.45463004710198,8.40379777991713e-06,0.000397388721922934
"6573","ENSG00000270930",NA,"processed_pseudogene","GRAMD4P8",12.6967814684526,-3.56731621697667,0.871489068592298,-4.09335738741841,4.25171620339333e-05,0.0012523909025363
"6066","ENSG00000260710",NA,"lncRNA","",33.7241022889383,-3.55977241571264,0.906351896395115,-3.92758312733843,8.58037684549692e-05,0.0020159016520612
"5757","ENSG00000257542",NA,"transcribed_unprocessed_pseudogene","OR7E47P",4.56374555138632,-3.52440354908302,0.998115590098851,-3.53105750881416,0.000413901746994625,0.00593870115383663
"5926","ENSG00000259459",NA,"lncRNA","LINC02568",210.78599362186,-3.49905417710167,0.645032212897529,-5.42461927813447,5.80781966738223e-08,9.55313304998773e-06
"1494","ENSG00000151033",119180,"protein_coding","LYZL2",8.01423683822038,-3.49899992716524,1.04789255638237,-3.33908271974447,0.000840555302215861,0.00963225615658469
"2113","ENSG00000171102",29989,"protein_coding","OBP2B",134.61389149702,-3.48200134712541,0.712749148087451,-4.88531113150932,1.03265653656032e-06,8.43834383011196e-05
"439","ENSG00000104755",2515,"protein_coding","ADAM2",2.30123823978901,-3.47780854805416,1.25546684352527,-2.7701317370427,0.00560336243179108,0.0337123408907201
"4514","ENSG00000235687",NA,"transcribed_unprocessed_pseudogene","LINC00993",668.010325837589,-3.47607138899266,0.975089757301592,-3.56487324675848,0.000364032071627939,0.00546077417592603
"5883","ENSG00000259126",NA,NA,NA,1.38014968380136,-3.47115155414214,1.29361521993828,-2.68329523388551,0.00729006027361534,0.03984116981804
"2579","ENSG00000185149",4887,"protein_coding","NPY2R",24.9625090923139,-3.45547811420626,1.01503878164644,-3.4042818626115,0.000663382618050636,0.00825892519672663
"3051","ENSG00000204434",NA,"transcribed_unprocessed_pseudogene","POTEKP",168.934461459646,-3.45128369063473,0.787405145436861,-4.38311041099423,1.16996779580988e-05,0.0005028297578716
"3591","ENSG00000224559",101927994,"lncRNA","LINC01087",138.877572901866,-3.42394820737405,0.934497031685123,-3.66394765449372,0.000248357562622311,0.00423530475700346
"2752","ENSG00000196091",4604,"protein_coding","MYBPC1",760.924833299086,-3.42290315652753,0.907321734312017,-3.77253517367019,0.000161597176580269,0.00316120428472938
"970","ENSG00000129951",79948,"protein_coding","PLPPR3",187.9991039048,-3.41877410232752,0.701242186443139,-4.87531150923524,1.08636885110294e-06,8.72739986939189e-05
"892","ENSG00000125879",56914,"protein_coding","OTOR",6.81198428341338,-3.41200944687568,0.808111813034459,-4.22219969049034,2.4192962188563e-05,0.00085125416153941
"2253","ENSG00000174827",5174,"protein_coding","PDZK1",315.505201415868,-3.38088828259877,0.64009928796927,-5.28181853369141,1.27907858580828e-07,1.79176790467625e-05
"972","ENSG00000130045",158046,"protein_coding","NXNL2",100.181643772745,-3.37205705593307,0.551572613108225,-6.11353242672953,9.74495581705589e-10,4.07996116466446e-07
"2572","ENSG00000185028",389257,"protein_coding","LRRC14B",30.9196370450328,-3.36472409716274,0.672048443970211,-5.00666897952357,5.53800450205295e-07,5.17185773823301e-05
"554","ENSG00000109321",374,"protein_coding","AREG",1166.3776796878,-3.36307179108321,0.546559798701327,-6.15316347648356,7.5952442481172e-10,3.36921418063504e-07
"1995","ENSG00000168350",123099,"protein_coding","DEGS2",1480.47288935775,-3.35150800133247,0.600902056439807,-5.5774613606572,2.44053971111085e-08,5.25296624157412e-06
"7679","ENSG00000287914",NA,"lncRNA","",63.8366225528449,-3.35011188268378,0.94553299501247,-3.54309357828343,0.000395462347794872,0.00576514788870599
"3598","ENSG00000224607",NA,"IG_V_pseudogene","IGKV1D-27",17.9615211710217,-3.34773441717475,0.930428028122355,-3.59805843761029,0.000320601593736862,0.005027885768444
"2147","ENSG00000171759",5053,"protein_coding","PAH",49.7349931375241,-3.34154940710482,0.808707429688615,-4.13196328416503,3.59677882825784e-05,0.00112109103102922
"4540","ENSG00000235939",NA,"lncRNA","",10.8723816953036,-3.34004899231605,0.717576844279562,-4.65462203657006,3.24575550871209e-06,0.00019697612665412
"5527","ENSG00000254164",NA,"lncRNA","",14.5891199321224,-3.32071868792896,0.77963117224718,-4.25934570876309,2.05026163631726e-05,0.000756404446459937
"6212","ENSG00000263639",4477,"protein_coding","MSMB",289.907592686215,-3.31633820134042,0.893346957129997,-3.71226226817252,0.000205414970166977,0.00371045170782909
"6002","ENSG00000260009",NA,"lncRNA","LINC02130",3.81965100635454,-3.31625042106577,1.04780994537732,-3.1649350492389,0.00155117573440213,0.0143923214132974
"2813","ENSG00000197308",399717,"lncRNA","GATA3-AS1",108.138675175354,-3.31349728765591,0.67311483864105,-4.92263295568631,8.53875137503464e-07,7.25510524564409e-05
"866","ENSG00000124939",4246,"protein_coding","SCGB2A1",321.734756436051,-3.30177560084384,0.932253589354334,-3.54171401274046,0.000397536227574321,0.0057772991075953
"7423","ENSG00000286379",NA,"lncRNA","",381.58292605027,-3.29786659196089,0.700780511742738,-4.70599072990711,2.52635998342895e-06,0.000166576764471816
"2302","ENSG00000176532",222171,"protein_coding","PRR15",961.797680865943,-3.28287235216127,0.685786276344957,-4.78701960858423,1.6927630087479e-06,0.000122003356348093
"2693","ENSG00000188175",253012,"protein_coding","HEPACAM2",101.867672561304,-3.26329544025027,0.841932325386346,-3.87595931627024,0.000106205429970929,0.00233752317281556
"7288","ENSG00000285094",101928292,"lncRNA","LINC01488",25.3086851500068,-3.2617434874025,0.930073433580406,-3.50697414810152,0.000453233178461444,0.00633234896731546
"504","ENSG00000107014",6019,"protein_coding","RLN2",48.6100835567274,-3.25279376969863,0.58419276688557,-5.56801445358494,2.57658456680853e-08,5.36361419711841e-06
"449","ENSG00000105219",79935,"protein_coding","CCNP",285.095979335668,-3.25231899621673,0.610204359110442,-5.32988489455888,9.82750332249587e-08,1.43677252881287e-05
"1980","ENSG00000167916",192666,"protein_coding","KRT24",6.75994781495114,-3.24528496756908,0.916409116723452,-3.54130585166191,0.000398151755061788,0.00578398857587226
"742","ENSG00000118513",4602,"protein_coding","MYB",2215.2093501957,-3.23981582805959,0.536833542924182,-6.03504730798306,1.58916124240945e-09,5.98134608228899e-07
"6310","ENSG00000265787",NA,"transcribed_unprocessed_pseudogene","CYP4F35P",13.2040507445557,-3.23664949329301,0.757248774049146,-4.274222163459,1.91805714202275e-05,0.000720470213972295
"6447","ENSG00000268529",NA,"transcribed_unprocessed_pseudogene","CYP2T3P",4.9121371370184,-3.23275198804202,0.918123532738617,-3.52104250982352,0.000429853699573621,0.0060971482883564
"5285","ENSG00000250538",NA,"lncRNA","NPY2R-AS1",5.50377204607365,-3.2293659758234,1.16588553557131,-2.76988252902626,0.00560765131708612,0.033716121441647
"4134","ENSG00000230978",54064,"lncRNA","LINC00160",33.9508542985874,-3.22853142112393,0.618982088110549,-5.21587212802726,1.8295436038128e-07,2.31093063611093e-05
"2482","ENSG00000182793",221357,"protein_coding","GSTA5",1.96225492540029,-3.21828884912782,1.15631538908066,-2.78322755151305,0.00538210439154586,0.0328455799340026
"2643","ENSG00000186910",256394,"protein_coding","SERPINA11",279.154901662062,-3.21453765302619,0.736280099768175,-4.36591679448938,1.26590664925248e-05,0.00053093035103784
"3786","ENSG00000226745",NA,"transcribed_processed_pseudogene","OAZ1P1",15.926206619749,-3.21033816955288,0.905519386839836,-3.54530031737543,0.000392165996555975,0.00573716371133281
"5884","ENSG00000259144",NA,"processed_pseudogene","RANBP20P",18.1437266827204,-3.20485987214186,0.914868237252381,-3.50308354978745,0.000459905183244725,0.00641114363563972
"3031","ENSG00000203985",388633,"protein_coding","LDLRAD1",23.6693856180926,-3.20236646067971,0.719710954005872,-4.4495174664989,8.60634309147853e-06,0.000403383089653677
"28","ENSG00000007216",9058,"protein_coding","SLC13A2",131.479548536378,-3.18939356131352,0.905459806907044,-3.52240213975721,0.000427654896195643,0.00607521034770952
"851","ENSG00000124490",7180,"protein_coding","CRISP2",22.6760176964061,-3.18634166102096,0.879962794369816,-3.6209958891533,0.000293471178308539,0.00475242201048795
"3323","ENSG00000214313",NA,"transcribed_unprocessed_pseudogene","AZGP1P1",170.475051892459,-3.18083593199654,0.740683133247644,-4.29446248903989,1.75117085109974e-05,0.000678296551493538
"6188","ENSG00000262902",NA,"processed_pseudogene","MTCO1P40",1152.69145866795,-3.17537477782315,0.880784894635541,-3.60516489004626,0.000311954796473059,0.00494430439224973
"2789","ENSG00000196834",653269,"protein_coding","POTEI",14.3605987056059,-3.1658126273336,0.680346079852483,-4.6532385811939,3.2676179784968e-06,0.000197980457097151
"1293","ENSG00000142515",354,"protein_coding","KLK3",49.5340147227534,-3.15904159337718,1.06543988461174,-2.96501157785019,0.00302671538339557,0.022465941335306
"2678","ENSG00000187889",199920,"protein_coding","FYB2",134.08917816433,-3.15814829507265,0.730259948356272,-4.32469054640237,1.52746127419806e-05,0.000610689506428843
"3255","ENSG00000213065",NA,"processed_pseudogene","",3.77648752482239,-3.14592641108374,0.796340980291611,-3.95047660354204,7.79957224254145e-05,0.00189672806374147
"2073","ENSG00000170369",1470,"protein_coding","CST2",62.0994184230174,-3.14081234193284,0.765057795054797,-4.1053268945621,4.0374352958869e-05,0.0012064387649987
"7237","ENSG00000283526",642515,"protein_coding","PRRT1B",24.3283809253176,-3.13528738126358,0.781304972592108,-4.01288548165993,5.99810164186501e-05,0.00158287013724628
"1112","ENSG00000135226",54490,"protein_coding","UGT2B28",16.3415153531471,-3.11842891028626,1.20592299818528,-2.58592705751443,0.00971174805555863,0.0482462726905698
"3669","ENSG00000225362",196993,"lncRNA","CT62",155.509536497628,-3.11700699280643,0.800809129470616,-3.89232200045841,9.9289343119247e-05,0.00223344135338085
"6067","ENSG00000260731",NA,"processed_pseudogene","KRT8P22",1.58971155323556,-3.11170242896393,1.03192097271236,-3.01544644526892,0.0025660124964083,0.0200032263500353
"6289","ENSG00000265369",728606,"lncRNA","PCAT18",3.41184291773846,-3.10777266034306,0.925367613921603,-3.35841952278044,0.000783895432895821,0.00920274468196726
"1267","ENSG00000141424",25800,"protein_coding","SLC39A6",32487.408617282,-3.10194753967295,0.527395028402735,-5.88163970575811,4.06221856938611e-09,1.18254990884739e-06
"2760","ENSG00000196208",9687,"protein_coding","GREB1",3965.83670848644,-3.09936581155482,0.613227158652374,-5.05418875831588,4.32223978548194e-07,4.4124739420994e-05
"3067","ENSG00000204710",387778,"protein_coding","SPDYC",95.920748501465,-3.09147927703279,0.958828050318194,-3.22422698836028,0.00126313234166383,0.0125480683765863
"1665","ENSG00000159763",5304,"protein_coding","PIP",1377.70124647726,-3.0843400774763,0.857667652406051,-3.59619494663658,0.000322905847853562,0.00505551163979807
"1028","ENSG00000132554",26166,"protein_coding","RGS22",158.395999110698,-3.0716575559144,0.666883487333006,-4.60598832368536,4.10511424760977e-06,0.000233891081184151
"1751","ENSG00000162896",5284,"protein_coding","PIGR",3259.15056683044,-3.0420234097721,0.901586173767845,-3.37407948156424,0.000740629796829833,0.00887374517346407
"3017","ENSG00000203697",388743,"protein_coding","CAPN8",646.961410961198,-3.03943537230147,0.679862031711704,-4.47066497396393,7.79767673574088e-06,0.000380291240841503
"646","ENSG00000113739",8614,"protein_coding","STC2",14335.3652712948,-3.03774832877355,0.546469803336347,-5.55885853203099,2.71544676182489e-08,5.52912443929612e-06
"846","ENSG00000124249",60598,"protein_coding","KCNK15",356.047607962617,-3.03631302280505,0.559766195199461,-5.42425221252085,5.81976598772802e-08,9.55313304998773e-06
"652","ENSG00000114248",79782,"protein_coding","LRRC31",42.3975181831497,-3.0275571608179,0.900533744804132,-3.3619585920974,0.000773917281584838,0.00912296923328511
"210","ENSG00000075461",27092,"protein_coding","CACNG4",3292.89620874504,-3.02570222628749,0.662866403647285,-4.56457320757122,5.00511524695107e-06,0.000272263655958965
"412","ENSG00000103089",79152,"protein_coding","FA2H",229.427802421058,-3.01620055646327,0.615376574785018,-4.9013899456881,9.51609545625005e-07,7.89729952986168e-05
"2271","ENSG00000175356",57758,"protein_coding","SCUBE2",5121.34394404451,-2.9954255964116,0.709315054034457,-4.22298325599344,2.41089737088266e-05,0.000849879935421939
"1911","ENSG00000165863",143379,"protein_coding","SPMIP5",148.894394713143,-2.98207190278341,0.857361651573099,-3.47819604167258,0.000504800588356539,0.00685241512690031
